round,strategy,display_name,role,policy,transition_variant,gate_mode,seed_index,transition_l1_error,off_support_leakage,reward_pct_oracle,top1_agreement,top2_agreement
100,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,0,0.16569013613655484,0.04534217717533234,75.45754255716875,0.33,0.51
100,TW,TW,TW,tw,dense,deterministic,0,0.18693778283308005,0.03766271572615997,78.89558592010795,0.27,0.57
100,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,0,0.17534372299653328,0.036573857492188125,84.26704303910022,0.39,0.73
100,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,0,0.17250211118856276,0.04140823735028617,81.3408180539313,0.48,0.69
100,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,0,0.18440043315936736,0.049849784442169955,90.64413812848152,0.55,0.75
100,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,0,0.1834755875495701,0.039341082486822374,84.55242281260335,0.56,0.65
100,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,0,0.19505716853521377,0.03999020127743981,94.50390282179977,0.66,0.84
100,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,0,0.10177966770407804,0.024733285549243828,90.07484695044664,0.6,0.86
100,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,0,0.1096736809125022,0.025387946751445407,96.40174039740165,0.71,0.86
100,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,0,0.11712916278755711,0.02491619497839592,89.759978236744,0.48,0.8
100,Adp. + beta gate prior,Beta-gate prior,Refined TM-TW,tm_tw_refined,gated_offline,beta,0,0.12093392368585248,0.02614863965417319,90.4175672640852,0.62,0.79
100,Adp. + beta gate + LR,Beta-gate + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,beta,0,0.10890538573498458,0.026565482578674332,89.7459620485542,0.66,0.78
100,Adp. + support/offline,Support + offline,Refined TM-TW,tm_tw_refined,support_offline,deterministic,0,0.07139328244904612,2.207125005636832e-07,99.70552572660166,0.7,0.93
100,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,1,0.1670523710118952,0.0413301914534749,95.69052656199001,0.64,0.82
100,TW,TW,TW,tw,dense,deterministic,1,0.17801654483514506,0.03631895340537925,86.59963558440812,0.6,0.82
100,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,1,0.1593375133728476,0.03910298198650789,88.11658922791442,0.58,0.79
100,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,1,0.1673826011011098,0.03732904126859827,76.01749149184299,0.43,0.78
100,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,1,0.18020085135783792,0.042342998513190934,97.59653567259132,0.69,0.93
100,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,1,0.19348865682075952,0.0360730314362492,86.9196455680415,0.6,0.8
100,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,1,0.172320111932858,0.04109108230199197,92.66105510466409,0.6,0.85
100,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,1,0.11391773672360607,0.0256273113532486,95.74281667598085,0.66,0.87
100,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,1,0.10907651541295696,0.025609444439400803,96.44459741524963,0.8,0.92
100,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,1,0.11320499023386886,0.024894031494908583,97.96206664682536,0.73,0.92
100,Adp. + beta gate prior,Beta-gate prior,Refined TM-TW,tm_tw_refined,gated_offline,beta,1,0.1165557114507297,0.02576888306236422,98.73872635399427,0.73,0.9
100,Adp. + beta gate + LR,Beta-gate + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,beta,1,0.11159591932784703,0.025291463401381078,96.21123868160787,0.74,0.92
100,Adp. + support/offline,Support + offline,Refined TM-TW,tm_tw_refined,support_offline,deterministic,1,0.07838965004286386,2.284882496744868e-07,98.58944300049438,0.81,0.93
100,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,2,0.17274011588184715,0.04153373467231702,91.38998252419881,0.44,0.56
100,TW,TW,TW,tw,dense,deterministic,2,0.19273709941246786,0.034149191554565486,87.6772681314073,0.57,0.76
100,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,2,0.18356242508328421,0.04112020455547693,93.8404720604627,0.56,0.73
100,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,2,0.17974726434869526,0.036418094271658465,87.31975917475431,0.42,0.75
100,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,2,0.18218048576576498,0.04598232940380396,91.80260644802976,0.56,0.69
100,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,2,0.18178212339684366,0.04025078650855687,89.76497998637257,0.62,0.76
100,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,2,0.17440854685788826,0.0481615734540938,94.88015722058434,0.55,0.72
100,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,2,0.11355866789760263,0.027380556645897322,92.01622641463777,0.55,0.73
100,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,2,0.1135141592268947,0.026336587105117406,94.83550497276802,0.59,0.71
100,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,2,0.10553461741022997,0.02751793079162534,90.32793715940024,0.56,0.72
100,Adp. + beta gate prior,Beta-gate prior,Refined TM-TW,tm_tw_refined,gated_offline,beta,2,0.10580521029614968,0.02644682844768174,89.25923064558468,0.51,0.69
100,Adp. + beta gate + LR,Beta-gate + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,beta,2,0.10636398656257605,0.026958297173070075,90.60189240709771,0.56,0.7
100,Adp. + support/offline,Support + offline,Refined TM-TW,tm_tw_refined,support_offline,deterministic,2,0.08034660904945394,2.16588877706951e-07,95.61408681400293,0.67,0.81
100,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,3,0.16476778326353994,0.04234455176903175,96.32211403416639,0.57,0.73
100,TW,TW,TW,tw,dense,deterministic,3,0.18059498668567225,0.034574473218190606,78.09779003103161,0.51,0.6
100,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,3,0.18980319135469192,0.03786277903452041,88.91008108752925,0.51,0.71
100,Global UCB + TW,Global UCB+TW,Baselines,global_ucb_tw,dense,deterministic,3,0.19255410352185057,0.03818674117633325,86.59381904686286,0.52,0.61
100,EXP4-based,EXP4,Baselines,exp4,dense,deterministic,3,0.17231787086093944,0.04260759441557744,87.19839844218198,0.53,0.71
100,TM-TW,TM-TW,Baselines,tm_tw,dense,deterministic,3,0.1773639931950211,0.04335124644402183,88.56723469922734,0.56,0.71
100,Adp. TM-TW,Adaptive TM-TW,Refined TM-TW,tm_tw_refined,dense,deterministic,3,0.1817634325792838,0.04074892879261909,83.92501198529949,0.38,0.7
100,Adp. + offline prior,Offline prior,Refined TM-TW,tm_tw_refined,offline,deterministic,3,0.09945130829796826,0.026503825426210163,87.17587988188146,0.38,0.65
100,Adp. + gated prior,Gated prior,Refined TM-TW,tm_tw_refined,gated_offline,deterministic,3,0.10421337559364138,0.025427607162576606,76.11938404485883,0.31,0.61
100,Adp. + gated + LR,Gated + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,deterministic,3,0.11544606643143553,0.02546942388935465,94.6308395656166,0.55,0.75
100,Adp. + beta gate prior,Beta-gate prior,Refined TM-TW,tm_tw_refined,gated_offline,beta,3,0.10335906935845122,0.02611858950965527,84.93325740846919,0.28,0.5
100,Adp. + beta gate + LR,Beta-gate + LR,Refined TM-TW,tm_tw_refined,gated_offline_low_rank,beta,3,0.11446764879340181,0.026019705301869128,85.14078679994577,0.48,0.69
100,Adp. + support/offline,Support + offline,Refined TM-TW,tm_tw_refined,support_offline,deterministic,3,0.07852485745678346,2.1723460393982365e-07,88.02122501687874,0.51,0.74
100,State Thompson (ST),ST,Baselines,state_thompson,dense,deterministic,4,0.17142373193925206,0.03752986177008289,85.36142241947817,0.53,0.75
100,TW,TW,TW,tw,dense,deterministic,4,0.20440774336595713,0.03573451189910349,87.93051694723987,0.68,0.81
100,Local UCB + TW,Local UCB+TW,Baselines,local_ucb_tw,dense,deterministic,4,0.17754625246253364,0.038950281573430626,91.95809649010448,0.64,0.78
