round,strategy,display_name,role,mean_cumulative_average_reward,reward_pct_oracle
100,State Thompson (ST),ST,Baselines,38.12547459427555,85.16241862413358
100,TW,TW,TW,35.73225027849592,79.81657642253951
100,Local UCB + TW,"Local
UCB+TW",Baselines,38.53103027419719,86.06832479202868
100,Global UCB + TW,"Global
UCB+TW",Baselines,37.76292242878956,84.35257115026528
100,EXP4-based,EXP4,Baselines,39.90618500327791,89.14006367415955
100,TM-TW,TM-TW,Baselines,37.58952932916484,83.9652559523846
100,Adp. TM-TW,"Adaptive
TM-TW",Refined TM-TW,40.311796177942966,90.04609380291338
100,Adp. + offline prior,"Offline
prior",Refined TM-TW,39.935429297206014,89.20538783938964
100,Adp. + gated prior,"Gated
prior",Refined TM-TW,39.307477694649,87.80270688074565
100,Adp. + gated + LR,"Gated
+ LR",Refined TM-TW,40.66628400654202,90.83792764046109
100,Adp. + beta gate prior,"Beta-gate
prior",Refined TM-TW,38.94773820133799,86.99914218677104
100,Adp. + beta gate + LR,"Beta-gate
+ LR",Refined TM-TW,39.37815279807144,87.96057672520051
100,Adp. + support/offline,"Support
+ offline",Refined TM-TW,40.81471788805256,91.16949042072098
1000,State Thompson (ST),ST,Baselines,42.13220911077129,93.87670891472821
1000,TW,TW,TW,42.24714180323968,94.13279572202742
1000,Local UCB + TW,"Local
UCB+TW",Baselines,42.07629417598176,93.75212228212553
1000,Global UCB + TW,"Global
UCB+TW",Baselines,41.869801672955376,93.29202685848618
1000,EXP4-based,EXP4,Baselines,42.36259659179848,94.39004583558902
1000,TM-TW,TM-TW,Baselines,41.821796786961045,93.18506496866155
1000,Adp. TM-TW,"Adaptive
TM-TW",Refined TM-TW,43.46710053710845,96.85104177094159
1000,Adp. + offline prior,"Offline
prior",Refined TM-TW,43.20648342094323,96.27034881254214
1000,Adp. + gated prior,"Gated
prior",Refined TM-TW,42.97878576290527,95.76300520974182
1000,Adp. + gated + LR,"Gated
+ LR",Refined TM-TW,42.695478835465046,95.1317560414177
1000,Adp. + beta gate prior,"Beta-gate
prior",Refined TM-TW,42.711417811244814,95.16727040492383
1000,Adp. + beta gate + LR,"Beta-gate
+ LR",Refined TM-TW,42.170906306191696,93.96293191197829
1000,Adp. + support/offline,"Support
+ offline",Refined TM-TW,43.23988151696605,96.34476464320502
