policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
oracle,20261640,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8687.07870275047,868707.870275047,868707.870275047,100.0,0.0,1.0,1.0,0.16659582681455776,0.0432833948077117,0.020716209000000152,oracle,context_noise_refinement
state_thompson,20262538,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7021.295063870441,702129.5063870441,790746.1721407472,88.79328552248369,88616.6657537031,0.58,0.82,0.17637252321613645,0.045523784288736005,0.022462041999999904,state_thompson,context_noise_refinement
global_ucb_tw,20262374,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7226.362204988158,722636.2204988158,792590.9977054279,91.17391221839094,69954.77720661217,0.65,0.85,0.1731922467380409,0.045450791138639306,0.49161220900000036,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262272,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7220.054138112777,722005.4138112777,879272.4944671784,82.11395424677747,157267.08065590065,0.62,0.86,0.1801451840287417,0.04042972241424455,0.4894546670000004,local_ucb_tw_dense,context_noise_refinement
exp4,20261395,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8640.834737622827,864083.4737622826,852866.9736082355,101.31515236269418,-11216.500154047157,0.74,0.91,0.1812330326860417,0.04610550156918295,0.49210962500000033,exp4_dense,context_noise_refinement
tw,20261245,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7548.7977482084625,754879.7748208463,885656.867187165,85.23388716200382,130777.09236631868,0.68,0.87,0.19734236008480344,0.05290811949879824,0.48053662500000005,tw_dense,context_noise_refinement
tm_tw,20261565,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6841.625439656392,684162.5439656392,856621.4761111735,79.86754512291117,172458.93214553432,0.59,0.8,0.17794213905688117,0.03870299414349754,0.4946090000000005,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262393,100,8,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8465.565136504167,846556.5136504166,843723.697035963,100.33575169506385,-2832.816614453681,0.71,0.87,0.1797235931894756,0.044952722504859904,0.5037965,tm_tw_refined_dense,context_noise_refinement
tw,20262069,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,6000.1399788336685,600013.9978833669,863858.3624851671,69.45745089012429,263844.3646018002,0.49,0.73,0.10261123012166036,0.027529477850359314,0.488668208,tw_gated_offline,context_noise_refinement
tm_tw,20262389,100,8,2,0.0,0.45,0.0,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,7109.700137805964,710970.0137805964,879488.8419652242,80.83900327739562,168518.8281846278,0.63,0.82,0.12427667507922954,0.026872759716368436,0.5293404169999993,tm_tw_gated_offline,context_noise_refinement
