policy,transition_variant,gate_mode,policy_label,display_name,computation,queue_states,grid_states,op_states,S,arms,budget,rounds,seed_index,avg_reward,cum_reward,walltime_seconds,replan_calls,event_replans,states_computed,computation_saving_pct,mix_trust_min,mix_trust_max,gate_scale_mult,beta_gate_concentration,regions,oracle_avg_reward,avg_reward_pct_oracle,avg_reward_gap_to_oracle
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,816.5997509427821,204149.9377356955,12.088598667,10,0,1473,69.3125,0.4,0.98,0.5,20.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,66.67741765132175,408.10237416507994
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,846.1281714064169,211532.04285160423,12.673611542,10,0,1482,69.12499999999999,0.4,0.98,0.5,20.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,69.08848723781684,378.57395370144513
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,554.0873309018926,138521.83272547316,12.632812958000002,10,0,1538,67.95833333333333,0.4,0.98,0.5,20.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,13.507630380589806,3547.944744969128
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,2049.7465257003228,512436.6314250807,13.49062825,10,0,1593,66.81250000000001,0.4,0.98,0.5,20.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,49.969051625835526,2052.2855501706977
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,557.675657572732,139418.914393183,13.397680958,10,0,1554,67.625,0.4,0.98,0.5,5.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,45.5356160604046,667.02646753513
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,479.3397785002401,119834.94462506004,14.096757667000002,10,0,1484,69.08333333333334,0.4,0.98,0.5,5.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,39.139295072099564,745.3623466076219
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,539.0949759553754,134773.74398884384,13.853043999999995,10,0,1632,65.99999999999999,0.4,0.98,0.5,5.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,13.142144331987083,3562.937099915645
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,2216.9503150985925,554237.5787746481,13.234378499999998,10,0,1531,68.10416666666667,0.4,0.98,0.5,5.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,54.0451725899254,1885.081760772428
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,809.27799850006,202319.49962501496,12.325285,10,0,1487,69.02083333333333,0.4,0.98,0.5,80.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,66.07957820182482,415.424126607802
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,1006.6847564016024,251671.1891004006,12.37417225,10,0,1434,70.125,0.4,0.98,0.5,80.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,82.19833506967595,218.01736870625962
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,1799.193193251715,449798.2983129288,13.410122833,10,0,1625,66.14583333333333,0.4,0.98,0.5,80.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,43.8610220489238,2302.8388826193054
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,2248.853556647691,562213.3891619229,13.370627666999994,10,0,1558,67.54166666666667,0.4,0.98,0.5,80.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,54.822914961487044,1853.1785192233292
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,481.1531060531755,120288.27651329388,13.923290375,10,0,1687,64.85416666666667,0.4,0.98,1.0,20.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,39.287357814521584,743.5490190546865
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,1001.8927410515514,250473.18526288783,12.123006083,10,0,1412,70.58333333333333,0.4,0.98,1.0,20.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,81.80705499823581,222.8093840563106
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,1223.1075156737763,305776.8789184441,13.896985334000004,10,0,1685,64.89583333333333,0.4,0.98,1.0,20.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,29.817112422604918,2878.9245601972443
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,1,2113.837345231736,528459.336307934,13.555939957999996,10,0,1594,66.79166666666667,0.4,0.98,1.0,20.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",4102.03207587102,51.53146796841871,1988.1947306392844
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,15,1,60,8,2,250,0,613.391270459162,153347.8176147905,11.833363917,10,0,1450,69.79166666666667,0.4,0.98,1.0,5.0,"BR-SP,CA-ON,US-NY-NYIS,US-CAL-CISO,US-MIDA-PJM,US-TEX-ERCO,AU-VIC,DE-LU,CL-SIC,JP-TK,KR,AU-NSW,ZA,IN-WE,SG",1224.702125107862,50.08493558424579,611.3108546487
