policy,transition_variant,gate_mode,policy_label,display_name,computation,queue_states,grid_states,op_states,S,arms,budget,rounds,seed_index,avg_reward,cum_reward,walltime_seconds,replan_calls,event_replans,states_computed,computation_saving_pct,regions,oracle_avg_reward,oracle_cum_reward,avg_reward_pct_oracle,avg_reward_gap_to_oracle,cum_reward_pct_oracle
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,7790.942729423039,1947735.68235576,0.0446624590000013,0,0,0,100.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",7790.942729423039,1947735.68235576,100.0,0.0,100.00000000000001
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,4954.062041922166,1238515.5104805415,0.0565499159999998,0,0,0,100.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",7790.942729423039,1947735.68235576,63.58745294343911,2836.880687500873,63.58745294343911
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,5218.27043557089,1304567.6088927223,21.737108709,10,0,2656,44.66666666666666,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",7790.942729423039,1947735.68235576,66.97867789303247,2572.672293852149,66.97867789303245
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,4773.863090116657,1193465.7725291643,20.654402375,10,0,2519,47.520833333333336,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",7790.942729423039,1947735.68235576,61.274524225262624,3017.079639306382,61.27452422526262
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,4597.532153500978,1149383.0383752445,20.298143167,10,0,2422,49.54166666666666,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",7790.942729423039,1947735.68235576,59.01124309562791,3193.410575922061,59.011243095627904
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,5368.477348207349,1342119.3370518372,23.283279458,10,0,2723,43.270833333333336,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",7790.942729423039,1947735.68235576,68.90664627700212,2422.4653812156903,68.90664627700214
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,4431.794732249428,1107948.6830623571,22.443964499999996,10,0,2753,42.645833333333336,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",7790.942729423039,1947735.68235576,56.8839341548802,3359.1479971736107,56.88393415488021
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,5101.993888269235,1275498.4720673088,21.507188583000016,10,0,2623,45.35416666666666,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",7790.942729423039,1947735.68235576,65.48621990251833,2688.948841153804,65.48621990251833
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,4120.171750811679,1030042.9377029196,21.719104708000003,10,0,2635,45.10416666666666,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",7790.942729423039,1947735.68235576,52.8841231915563,3670.77097861136,52.88412319155629
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,6757.686288630465,1689421.5721576165,22.766247292000003,10,0,2727,43.1875,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",7790.942729423039,1947735.68235576,86.73772254941102,1033.2564407925738,86.73772254941102
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,3498.8309163552867,874707.7290888217,21.222334125000003,10,0,2592,46.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",7790.942729423039,1947735.68235576,44.90895438291065,4292.111813067752,44.90895438291065
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,4865.676884242263,1216419.221060566,0.0356463330000167,0,0,0,100.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,100.0,0.0,100.0
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,3175.7100929932662,793927.5232483166,0.0460077920000117,0,0,0,100.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,65.26759109874232,1689.9667912489972,65.26759109874233
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,2638.2165019929103,659554.1254982275,20.657946417000005,10,0,2529,47.3125,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,54.22095557838839,2227.460382249353,54.22095557838839
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,2368.5732063290598,592143.3015822648,18.630468834,10,0,2322,51.625,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,48.679212834699364,2497.1036779132037,48.67921283469935
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,2963.749777378597,740937.4443446493,18.641782500000005,10,0,2284,52.41666666666666,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,60.911356176914424,1901.9271068636663,60.911356176914424
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,2462.739697608045,615684.9244020112,21.55997637500002,10,0,2628,45.25,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,50.614534343284284,2402.9371866342185,50.61453434328428
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,2346.3614042798176,586590.3510699545,21.07436837500001,10,0,2572,46.41666666666666,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,48.22271310038334,2519.315479962446,48.22271310038334
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,2463.8248442880117,615956.2110720028,22.00513741700001,10,0,2583,46.1875,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,50.6368364135981,2401.8520399542517,50.63683641359808
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,2950.750009852477,737687.5024631193,20.982968916000004,10,0,2603,45.770833333333336,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,60.64418332850313,1914.9268743897865,60.64418332850313
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,1,2898.9549546041108,724738.7386510277,21.508922332999987,10,0,2582,46.20833333333333,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",4865.676884242263,1216419.221060566,59.57968487370216,1966.7219296381527,59.57968487370216
