computation,queue_states,grid_states,op_states,S,arms,budget,rounds,policy_label,display_name,policy,transition_variant,gate_mode,n,mean_avg_reward,mean_oracle_avg_reward,mean_avg_reward_pct_oracle,mean_avg_reward_gap_to_oracle,mean_cum_reward,mean_computation_saving_pct,mean_walltime_seconds,sort_order,is_best_non_oracle
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,oracle,oracle,oracle,dense,deterministic,2,6328.309806832651,6328.309806832651,100.0,0.0,1582077.451708163,100.0,0.040154396000009,0,False
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,state_thompson,State Thompson,state_thompson,dense,deterministic,2,4064.8860674577163,6328.309806832651,64.42752202109071,2263.4237393749354,1016221.516864429,100.0,0.051278854000005744,1,False
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,tw_dense,TW,tw,dense,deterministic,2,3915.608522907697,6328.309806832651,59.7605903101432,2412.7012839249546,978902.1307269242,44.26041666666667,22.421627916500007,2,False
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,local_ucb_tw_dense,Local UCB+TW,local_ucb_tw,dense,deterministic,2,3928.2434687819004,6328.309806832651,60.599816735710434,2400.0663380507513,982060.8671954749,45.98958333333333,21.197527563,3,False
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,global_ucb_tw_dense,Global UCB+TW,global_ucb_tw,dense,deterministic,2,3571.2181482228584,6328.309806832651,54.97686852998099,2757.091658609793,892804.5370557145,49.57291666666667,19.6424356045,4,False
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,exp4_dense,EXP4,exp4,dense,deterministic,2,3780.6409654397876,6328.309806832651,59.961299636271164,2547.6688413928637,945160.2413599469,50.97916666666666,19.469962833500002,5,False
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,tm_tw_dense,TM-TW,tm_tw,dense,deterministic,2,3389.0780682646227,6328.309806832651,52.55332362763177,2939.231738568028,847269.5170661558,44.53125,21.759166437500003,6,False
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,tm_tw_refined_dense,Adaptive TM-TW,tm_tw_refined,dense,deterministic,2,3782.9093662786236,6328.309806832651,58.06152815805821,2545.400440554028,945727.3415696558,45.77083333333333,21.756163000000015,7,False
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,tm_tw_refined,gated_offline,beta,2,3535.460880332078,6328.309806832651,56.764153260029715,2792.8489265005733,883865.2200830195,45.4375,21.351036812000004,8,False
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,tm_tw_refined,gated_offline_low_rank,beta,2,4828.3206216172875,6328.309806832651,73.1587037115566,1499.9891852153632,1207080.155404322,44.697916666666664,22.137584812499995,9,True
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,tm_tw_refined_support_offline,Adaptive + support/offline,tm_tw_refined,support_offline,deterministic,2,3046.389191943954,6328.309806832651,49.11004361360359,3281.9206148886974,761597.2979859884,46.322916666666664,21.417248458500026,10,False
Event-Driven TW (M1+M3),4,10,3,120,8,2,250,oracle,oracle,oracle,dense,deterministic,2,5073.91338000727,5073.91338000727,100.0,0.0,1268478.3450018174,100.0,0.0379780829999276,0,False
