policy,transition_variant,gate_mode,policy_label,display_name,computation,queue_states,grid_states,op_states,S,arms,budget,rounds,seed_index,avg_reward,cum_reward,walltime_seconds,replan_calls,event_replans,states_computed,computation_saving_pct,regions
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,7790.942729423039,1947735.6823557597,0.04466245900000132,0,0,0,100.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,4954.062041922166,1238515.5104805415,0.05654991599999981,0,0,0,100.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,5218.27043557089,1304567.6088927225,21.737108708999997,10,0,2656,44.666666666666664,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,4773.863090116657,1193465.7725291643,20.654402374999997,10,0,2519,47.520833333333336,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,4597.532153500978,1149383.0383752445,20.298143167,10,0,2422,49.541666666666664,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,5368.477348207349,1342119.3370518372,23.283279457999996,10,0,2723,43.270833333333336,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,4431.794732249428,1107948.6830623571,22.443964499999993,10,0,2753,42.645833333333336,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,5101.993888269235,1275498.4720673088,21.507188583000016,10,0,2623,45.354166666666664,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,4120.171750811679,1030042.9377029197,21.719104708000003,10,0,2635,45.104166666666664,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,6757.686288630465,1689421.5721576163,22.766247292000003,10,0,2727,43.1875,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,5,3,60,8,2,250,0,3498.8309163552867,874707.7290888217,21.222334125000003,10,0,2592,46.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
