computation,queue_states,grid_states,op_states,S,arms,budget,rounds,policy_label,display_name,policy,transition_variant,gate_mode,n,mean_avg_reward,mean_cum_reward,mean_walltime_seconds,mean_replan_calls,mean_event_replans,mean_states_computed,mean_computation_saving_pct
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,exp4_dense,EXP4,exp4,dense,deterministic,2,3780.6409654397876,945160.2413599469,19.469962833500002,10.0,0.0,2353.0,50.979166666666664
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,global_ucb_tw_dense,Global UCB+TW,global_ucb_tw,dense,deterministic,2,3571.218148222858,892804.5370557145,19.642435604499997,10.0,0.0,2420.5,49.57291666666667
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,local_ucb_tw_dense,Local UCB+TW,local_ucb_tw,dense,deterministic,2,3928.2434687819004,982060.867195475,21.197527563,10.0,0.0,2592.5,45.98958333333333
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,oracle,oracle,oracle,dense,deterministic,2,6328.309806832651,1582077.4517081627,0.04015439600000903,0.0,0.0,0.0,100.0
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,state_thompson,State Thompson,state_thompson,dense,deterministic,2,4064.8860674577163,1016221.516864429,0.05127885400000576,0.0,0.0,0.0,100.0
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,tm_tw_dense,TM-TW,tm_tw,dense,deterministic,2,3389.0780682646227,847269.5170661558,21.7591664375,10.0,0.0,2662.5,44.53125
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,tm_tw_refined_dense,Adaptive TM-TW,tm_tw_refined,dense,deterministic,2,3782.909366278623,945727.3415696558,21.756163000000015,10.0,0.0,2603.0,45.77083333333333
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,tm_tw_refined,gated_offline,beta,2,3535.460880332078,883865.2200830195,21.351036812000004,10.0,0.0,2619.0,45.4375
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,tm_tw_refined,gated_offline_low_rank,beta,2,4828.3206216172875,1207080.1554043218,22.137584812499995,10.0,0.0,2654.5,44.697916666666664
Event-Driven TW (M1+M3),4,5,3,60,8,2,250,tm_tw_refined_support_offline,Adaptive + support/offline,tm_tw_refined,support_offline,deterministic,2,3046.389191943954,761597.2979859884,21.417248458500026,10.0,0.0,2576.5,46.322916666666664
