policy,transition_variant,gate_mode,policy_label,display_name,computation,queue_states,grid_states,op_states,S,arms,budget,rounds,seed_index,avg_reward,cum_reward,walltime_seconds,replan_calls,event_replans,states_computed,computation_saving_pct,regions,oracle_avg_reward,oracle_cum_reward,avg_reward_pct_oracle,avg_reward_gap_to_oracle,cum_reward_pct_oracle
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,8041.574526769564,2010393.631692391,0.0370758750000002,0,0,0,100.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",8041.574526769564,2010393.631692391,100.0,0.0,100.00000000000001
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,5508.225856215012,1377056.464053753,0.0510147500000002,0,0,0,100.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",8041.574526769564,2010393.631692391,68.49685764745078,2533.348670554552,68.49685764745078
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,5261.510972916839,1315377.7432292097,9.545313625,10,0,1252,21.750000000000004,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",8041.574526769564,2010393.631692391,65.42886539696694,2780.063553852725,65.42886539696694
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,6951.289285191253,1737822.3212978132,8.2741435,10,0,1098,31.375,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",8041.574526769564,2010393.631692391,86.44189346316614,1090.285241578311,86.44189346316614
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,4452.613641829111,1113153.4104572777,8.798567374999998,10,0,1171,26.812499999999996,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",8041.574526769564,2010393.631692391,55.36992322842776,3588.960884940453,55.36992322842776
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,6420.063826775736,1605015.956693934,9.137154542000005,10,0,1229,23.187500000000007,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",8041.574526769564,2010393.631692391,79.83590533674733,1621.510699993828,79.83590533674733
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,5825.001041497329,1456250.2603743323,9.239196083000005,10,0,1248,22.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",8041.574526769564,2010393.631692391,72.4360760707559,2216.5734852722344,72.4360760707559
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,5073.470460735701,1268367.6151839253,9.072755291,10,0,1215,24.0625,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",8041.574526769564,2010393.631692391,63.09051099192884,2968.104066033863,63.090510991928845
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,3600.514306766698,900128.5766916745,9.265875584000009,10,0,1245,22.187500000000004,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",8041.574526769564,2010393.631692391,44.773747911941385,4441.060220002866,44.77374791194139
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,4507.049355311088,1126762.338827772,8.970082958999996,10,0,1199,25.0625,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",8041.574526769564,2010393.631692391,56.04685177396031,3534.5251714584756,56.04685177396032
tm_tw_refined,support_offline,deterministic,tm_tw_refined_support_offline,Adaptive + support/offline,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,6811.961991002434,1702990.4977506085,9.259839583000002,10,0,1223,23.5625,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",8041.574526769564,2010393.631692391,84.70930622263242,1229.6125357671299,84.70930622263243
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,1,5704.03139322833,1426007.8483070824,0.033594249999993,0,0,0,100.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",5704.03139322833,1426007.8483070824,99.99999999999999,0.0,100.0
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,1,3219.894312626369,804973.5781565922,0.0434499579999965,0,0,0,100.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",5704.03139322833,1426007.8483070824,56.44944935697478,2484.137080601961,56.44944935697478
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,1,1928.349569352474,482087.3923381185,8.63092020900001,10,0,1164,27.25,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",5704.03139322833,1426007.8483070824,33.80678394655678,3775.681823875856,33.806783946556784
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,1,1994.164504280666,498541.1260701665,8.166928166999995,10,0,1109,30.6875,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",5704.03139322833,1426007.8483070824,34.96061586631665,3709.866888947664,34.960615866316644
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,1,2559.027685950225,639756.9214875564,8.76807762499999,10,0,1177,26.437500000000004,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",5704.03139322833,1426007.8483070824,44.86349231857722,3145.0037072781047,44.86349231857723
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,1,1687.112508695357,421778.12717383925,8.415247500000007,10,0,1141,28.6875,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",5704.03139322833,1426007.8483070824,29.577545991388668,4016.9188845329727,29.57754599138867
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,1,3058.346274321737,764586.5685804342,9.126189791999993,10,0,1222,23.625,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",5704.03139322833,1426007.8483070824,53.61727633463803,2645.685118906593,53.61727633463802
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,1,2954.2162439359804,738554.0609839951,8.756671292000021,10,0,1176,26.5,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",5704.03139322833,1426007.8483070824,51.79172483943804,2749.8151492923494,51.79172483943803
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,1,4087.8802752935976,1021970.0688233994,8.637270916999995,10,0,1128,29.500000000000004,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG",5704.03139322833,1426007.8483070824,71.66651081455507,1616.1511179347322,71.66651081455508
