computation,queue_states,grid_states,op_states,S,arms,budget,rounds,policy_label,display_name,policy,transition_variant,gate_mode,n,mean_avg_reward,mean_oracle_avg_reward,mean_avg_reward_pct_oracle,mean_avg_reward_gap_to_oracle,mean_cum_reward,mean_computation_saving_pct,mean_walltime_seconds,sort_order,is_best_non_oracle
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,oracle,oracle,oracle,dense,deterministic,2,6872.802959998947,6872.802959998947,100.0,0.0,1718200.7399997367,100.0,0.0353350624999966,0,False
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,state_thompson,State Thompson,state_thompson,dense,deterministic,2,4364.06008442069,6872.802959998947,62.47315350221278,2508.7428755782566,1091015.0211051726,100.0,0.04723235399999835,1,False
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,tw_dense,TW,tw,dense,deterministic,2,4053.5881677355464,6872.802959998947,54.706725664068,2819.2147922634003,1013397.0419338867,25.937500000000004,8.776201021000006,2,False
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,local_ucb_tw_dense,Local UCB+TW,local_ucb_tw,dense,deterministic,2,3594.9302711346563,6872.802959998947,49.61782467176186,3277.8726888642905,898732.5677836641,24.5,9.088116917000004,3,False
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,global_ucb_tw_dense,Global UCB+TW,global_ucb_tw,dense,deterministic,2,4472.72689473596,6872.802959998947,60.7012546647414,2400.0760652629874,1118181.7236839898,31.03125,8.220535833499998,4,False
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,exp4_dense,EXP4,exp4,dense,deterministic,2,3505.820663889668,6872.802959998947,50.11670777350249,3366.9822961092786,876455.165972417,26.625,8.783322499999993,5,False
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,tm_tw_dense,TM-TW,tm_tw,dense,deterministic,2,4441.673657909533,6872.802959998947,63.02667620269696,2431.1293020894136,1110418.4144773833,22.8125,9.182692937499999,6,False
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,tm_tw_refined_dense,Adaptive TM-TW,tm_tw_refined,dense,deterministic,2,4013.843352335841,6872.802959998947,57.441117915683435,2858.959607663106,1003460.8380839601,25.28125,8.91471329150001,7,False
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,tm_tw_refined,gated_offline,beta,2,3844.197291030148,6872.802959998947,58.220129363248226,3028.6056689687994,961049.322757537,25.843750000000004,8.951573250500001,8,False
Event-Driven TW (M1+M3),4,5,1,20,8,2,250,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,tm_tw_refined,gated_offline_low_rank,beta,2,3798.777925007425,6872.802959998947,55.113971867957105,3074.025034991522,949694.4812518563,25.71875,8.991455375499996,9,False
