policy,transition_variant,gate_mode,policy_label,display_name,computation,queue_states,grid_states,op_states,S,arms,budget,rounds,seed_index,avg_reward,cum_reward,walltime_seconds,replan_calls,event_replans,states_computed,computation_saving_pct,regions
oracle,dense,deterministic,oracle,oracle,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,8041.574526769564,2010393.631692391,0.0370758750000002,0,0,0,100.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
state_thompson,dense,deterministic,state_thompson,State Thompson,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,5508.225856215012,1377056.464053753,0.05101475000000022,0,0,0,100.0,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
local_ucb_tw,dense,deterministic,local_ucb_tw_dense,Local UCB+TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,5261.510972916839,1315377.7432292097,9.545313624999999,10,0,1252,21.750000000000004,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
global_ucb_tw,dense,deterministic,global_ucb_tw_dense,Global UCB+TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,6951.289285191253,1737822.3212978132,8.2741435,10,0,1098,31.374999999999996,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
exp4,dense,deterministic,exp4_dense,EXP4,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,4452.613641829111,1113153.4104572777,8.798567374999998,10,0,1171,26.812499999999993,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
tw,dense,deterministic,tw_dense,TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,6420.063826775736,1605015.956693934,9.137154542000005,10,0,1229,23.187500000000007,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
tm_tw,dense,deterministic,tm_tw_dense,TM-TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,5825.001041497329,1456250.2603743323,9.239196083000003,10,0,1248,21.999999999999996,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
tm_tw_refined,dense,deterministic,tm_tw_refined_dense,Adaptive TM-TW,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,5073.470460735701,1268367.6151839253,9.072755291,10,0,1215,24.062499999999996,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
tm_tw_refined,gated_offline,beta,tm_tw_refined_gated_offline_beta,Adaptive + beta-gate prior,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,3600.514306766698,900128.5766916745,9.265875584000007,10,0,1245,22.187500000000004,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
tm_tw_refined,gated_offline_low_rank,beta,tm_tw_refined_gated_offline_low_rank_beta,Adaptive + beta-gate + LR,Event-Driven TW (M1+M3),4,5,1,20,8,2,250,0,4507.049355311088,1126762.338827772,8.970082958999996,10,0,1199,25.0625,"BR-SP,US-MIDA-PJM,DE-LU,KR,SG"
